model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,accuracy_mask1,accuracy_mask2
google_multiberts-seed_3,step_1200k,0.09772037078022468,0.10049971944606534,0.1452503091653295,0.0003011761513505508,0.5211267605633803,0.08333333333333333
google_multiberts-seed_3,step_120k,0.09666443013357676,0.05564092032258943,0.14074702873161485,7.214315124906529e-05,0.428169014084507,0.010416666666666666
google_multiberts-seed_3,step_1600k,0.1046760742703631,0.12042710600788419,0.15462293884902084,0.0002080311450293761,0.5154929577464789,0.0625
google_multiberts-seed_3,step_2000k,0.09997722318706548,0.11800903190435448,0.16224018373337876,0.00014603048820984723,0.5352112676056338,0.052083333333333336
google_multiberts-seed_3,step_200k,0.08965296881718193,0.07173598956827662,0.12616853549752702,0.00019141658087829593,0.4591549295774648,0.0
google_multiberts-seed_3,step_300k,0.07347920079290536,0.07638698522716082,0.09511951978894706,0.00012982786198320143,0.5070422535211268,0.03125
google_multiberts-seed_3,step_40k,0.03840583369670559,0.02016836146328165,0.03772079213510433,6.404760156282384e-05,0.476056338028169,0.010416666666666666
google_multiberts-seed_3,step_500k,0.058284244411861655,0.05544809017608351,0.09298676412063851,0.000167402467008934,0.5380281690140845,0.10416666666666667
google_multiberts-seed_3,step_800k,0.0666471964149196,0.0969636447169122,0.09652263506101048,0.0002491119579597571,0.5408450704225352,0.08333333333333333
google_multiberts-seed_3,step_80k,0.08010405068557122,0.04264255439267513,0.1005554175625415,0.0001485741761416243,0.4169014084507042,0.0
